PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,,,
000530 CS Equity,000530,Shenzhen,CNY,BBG000BZB6W8,6258676,CNE000000DK9,,3.860000,7268295.000000,2369.785576,16,1611,161110,16111011,Common Stock,,,
000531 CS Equity,000531,Shenzhen,CNY,BBG000BG4RT6,6389479,CNE000000DS2,,5.170000,1712837.000000,3541.878179,19,1910,191011,,Common Stock,,,
000532 CS Equity,000532,Shenzhen,CNY,BBG000BZGT62,6427272,CNE0000002C4,,10.300000,5589001.000000,3550.495902,14,1410,141010,,Common Stock,,,
000533 CS Equity,000533,Shenzhen,CNY,BBG000BZBRH9,6388636,CNE0000003T6,,3.750000,9836355.000000,2590.560000,16,1611,161111,16111111,Common Stock,,,
000534 CS Equity,000534,Shenzhen,CNY,BBG000BZCX49,6780362,CNE0000004T4,,11.670000,657989.800000,5739.132070,14,1415,141510,,Common Stock,,,
000536 CS Equity,000536,Shenzhen,CNY,BBG000BZCS31,6581736,CNE0000002D2,,2.810000,9929192.000000,7772.552176,18,1810,181011,18101112,Common Stock,,,
000537 CS Equity,000537,Shenzhen,CNY,BBG000BZGBL4,6902605,CNE000000271,,10.190000,9908384.000000,18979.086137,14,1415,141510,,Common Stock,,,
000538 CS Equity,000538,Shenzhen,CNY,BBG000BZGLL2,6984045,CNE0000008X7,,102.000000,3061276.000000,106222.771236,15,1510,151012,,Common Stock,,,
000539 CS Equity,000539,Shenzhen,CNY,BBG000BZBHN4,6388551,CNE0000006J0,,4.570000,2686834.000000,20345.073256,19,1910,191011,,Common Stock,,,
000540 CS Equity,000540,Shenzhen,CNY,BBG000BZ9N18,6997140,CNE000000FL2,,4.870000,0.000000,34316.441262,14,1415,141510,,Common Stock,,,
000541 CS Equity,000541,Shenzhen,CNY,BBG000BZB8Y2,6354303,CNE000000DN3,,6.130000,2741134.000000,6603.726835,12,1210,121014,12101410,Common Stock,,,
000543 CS Equity,000543,Shenzhen,CNY,BBG000BZGF08,6037756,CNE000000DF9,,4.930000,9147922.000000,8826.652172,19,1910,191011,,Common Stock,,,
000544 CS Equity,000544,Shenzhen,CNY,BBG000BZGP42,6993182,CNE000000F30,,7.190000,2976311.000000,7007.981469,16,1618,161812,,Common Stock,,,
000545 CS Equity,000545,Shenzhen,CNY,BBG000BZCH99,6476962,CNE0000002F7,,3.760000,0.000000,3710.492441,15,1510,151012,,Common Stock,,,
000546 CS Equity,000546,Shenzhen,CNY,BBG000BZCG64,6479240,CNE0000004G1,,14.200000,2288108.000000,10147.950423,14,1415,141510,,Common Stock,,,
000547 CS Equity,000547,Shenzhen,CNY,BBG000BZBCW5,6354347,CNE000000DM5,,8.110000,12723970.000000,11594.290355,18,1810,181010,18101013,Common Stock,,,
000548 CS Equity,000548,Shenzhen,CNY,BBG000BZC997,6187918,CNE000000DT0,,4.370000,3705912.000000,2181.573094,16,1615,161512,16151211,Common Stock,,,
000550 CS Equity,000550,Shenzhen,CNY,BBG000BZCCH1,6475282,CNE000000CV8,,12.130000,989323.800000,6298.065820,16,1614,161410,16141010,Common Stock,,,
