PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,PX_ROUND_LOT_SIZE,FUT_CONTRACT_SIZE_REALTIME,FUT_TICK_SIZE
1771 HK Equity,1771,Hong Kong,HKD,BBG0062SF4V3,BK34WG8,KYG8571A1022,,1.050000,214800.000000,630.000000,11,1120,112010,11201012,Common Stock,1000,,
1773 HK Equity,1773,Hong Kong,HKD,BBG00L9J7CD4,BG5KMH7,KYG888461038,,3.280000,,6806.000000,11,1115,111511,,Common Stock,1000,,
1775 HK Equity,1775,Hong Kong,HKD,BBG00LBKSSJ4,BFZ5ZX2,KYG108021091,,0.880000,,440.000000,11,1115,111511,11151113,Common Stock,4000,,
1776 HK Equity,1776,Hong Kong,HKD,BBG007WL04J3,BW4NKK8,CNE100001TQ9,,11.160000,3675904.000000,18992.045592,14,1410,141013,,Common Stock,200,,
1777 HK Equity,1777,Hong Kong,HKD,BBG000P2TTS2,B4TK7G3,KYG3311L1041,,1.230000,6287392.000000,7088.421002,14,1415,141510,14151014,Common Stock,1500,,
1778 HK Equity,1778,Hong Kong,HKD,BBG006NCBKZ9,BNG5KW1,KYG229151058,,8.630000,5377645.000000,11447.548946,14,1415,141512,14151211,Common Stock,1000,,
177 HK Equity,177,Hong Kong,HKD,BBG000BX5KN9,6005504,CNE1000003J5,,9.470000,4458313.000000,11572.340000,16,1615,161512,16151211,Common Stock,2000,,
1786 HK Equity,1786,Hong Kong,HKD,BBG009RTY8C9,BZ1NG59,CNE1000023F1,,1.850000,1103650.000000,984.015000,16,1614,161411,16141111,Common Stock,500,,
1788 HK Equity,1788,Hong Kong,HKD,BBG000R4B7S3,B3W1335,HK0000065869,,1.900000,30675710.000000,14659.208871,14,1413,141310,,Common Stock,1000,,
1789 HK Equity,1789,Hong Kong,HKD,BBG00JF2NRL9,BFD6SZ0,KYG020141019,,4.830000,7075945.000000,5012.332500,15,1512,151212,,Common Stock,2000,,
178 HK Equity,178,Hong Kong,HKD,BBG000BWGTN0,6003401,KYG7814S1021,,4.230000,10211970.000000,12859.210144,11,1120,112019,11201912,Common Stock,2000,,
1798 HK Equity,1798,Hong Kong,HKD,BBG0018K9CC5,B4YX1N2,CNE100000X69,,1.390000,2737394.000000,3476.488829,19,1910,191011,,Common Stock,1000,,
1799 HK Equity,1799,Hong Kong,HKD,BBG009NP47Y2,BD9Q2R0,CNE1000023G9,,7.880000,280.000000,2470.187964,13,1311,131111,13111110,Common Stock,400,,
179 HK Equity,179,Hong Kong,HKD,BBG000BDXKS7,BP4JH17,BMG5150J1577,,23.400000,439641.100000,20564.963757,16,1612,161215,16121517,Common Stock,500,,
17 HK Equity,17,Hong Kong,HKD,BBG000BDYD39,6633767,HK0017000149,,11.040000,10892830.000000,112780.553555,14,1415,141510,,Common Stock,1000,,
1800 HK Equity,1800,Hong Kong,HKD,BBG000M0JS84,B1JKTQ6,CNE1000002F5,,8.300000,22512030.000000,36748.250000,16,1615,161512,16151213,Common Stock,1000,,
1803 HK Equity,1803,Hong Kong,HKD,BBG002CQR754,BZ01911,KYG1145Y1026,,2.660000,799375.000000,3474.253664,16,1617,161710,,Common Stock,2500,,
1806 HK Equity,1806,Hong Kong,HKD,BBG00L1N6941,BFXWP80,KYG4644R1074,,5.080000,2388400.000000,6357.431842,14,1412,141211,14121112,Common Stock,400,,
1808 HK Equity,1808,Hong Kong,HKD,BBG000P0RW65,BD09P24,KYG3070M1116,,0.810000,1854140.000000,426.472275,17,1715,171510,17151012,Common Stock,2000,,
180 HK Equity,180,Hong Kong,HKD,BBG000BB9RT2,6480736,BMG5206W1038,,1.290000,135628.500000,1226.258508,11,1113,111310,11131010,Common Stock,2000,,
1810 HK Equity,1810,Hong Kong,HKD,BBG00KVTBY91,BG0ZMJ9,KYG9830T1067,,18.300000,,290648.452713,18,1810,181010,18101012,Common Stock,200,,
1811 HK Equity,1811,Hong Kong,HKD,BBG0077HTN07,BQWJ9K9,BMG202981087,,1.350000,2064281.000000,5792.612400,19,1910,191013,,Common Stock,2000,,
1812 HK Equity,1812,Hong Kong,HKD,BBG000FB30G7,B2RJKP8,CNE100000BK2,,6.780000,1751904.000000,3581.909595,17,1713,171311,,Common Stock,500,,
1813 HK Equity,1813,Hong Kong,HKD,BBG000Q71X74,B1YBF00,KYG532241042,,9.370000,11785360.000000,29563.802865,14,1415,141510,14151014,Common Stock,500,,
1815 HK Equity,1815,Hong Kong,HKD,BBG00K4YT004,BYVNTJ7,KYG2582R1056,,1.460000,1075449.000000,1538.238480,11,1119,111914,11191414,Common Stock,1000,,
1816 HK Equity,1816,Hong Kong,HKD,BBG00732Y4J0,BSBMM04,CNE100001T80,,2.040000,37308040.000000,22773.795000,19,1910,191011,19101111,Common Stock,1000,,
1818 HK Equity,1818,Hong Kong,HKD,BBG000DQ77W9,B1H5082,CNE1000004R6,,6.310000,2698115.000000,6620.546650,17,1715,171511,17151110,Common Stock,500,,
1819 HK Equity,1819,Hong Kong,HKD,BBG005P683T1,BH6XTR1,CNE100001QT9,,3.880000,0.000000,4715.259240,11,1110,111010,11101013,Common Stock,600,,
181 HK Equity,181,Hong Kong,HKD,BBG000BBBB50,B011BK8,HK0181013399,,0.245000,66793.300000,280.658770,11,1116,111612,11161210,Common Stock,20000,,
1822 HK Equity,1822,Hong Kong,HKD,BBG000C0PTQ6,BDB78C8,KYG4610G1010,,0.295000,3757500.000000,2009.171384,11,1120,112010,11201013,Common Stock,30000,,
1823 HK Equity,1823,Hong Kong,HKD,BBG000Q0R3T3,B58GVV2,KYG464101099,,0.650000,45800.000000,268.195200,16,1615,161512,16151211,Common Stock,2000,,
1826 HK Equity,1826,Hong Kong,HKD,BBG00B2W4QT9,BG1SV89,,,0.700000,768750.000000,862.400000,11,1114,111411,,Common Stock,10000,,
1828 HK Equity,1828,Hong Kong,HKD,BBG000RP7DN3,B284BK4,HK1828040670,,3.700000,1105481.000000,6903.443798,11,1120,112010,11201012,Common Stock,1000,,
1829 HK Equity,1829,Hong Kong,HKD,BBG003PRY918,B94VG58,CNE100001NP4,,4.070000,1928335.000000,3696.658900,16,1615,161512,,Common Stock,1000,,
182 HK Equity,182,Hong Kong,HKD,BBG000BBBW09,BVXTWR1,BMG2345T1099,,0.355000,5965615.000000,3080.262213,13,1311,131112,13111210,Common Stock,10000,,
1830 HK Equity,1830,Hong Kong,HKD,BBG0029TV1S5,B7F0L00,KYG7013H1056,,2.200000,4306578.000000,2431.308000,11,1115,111514,11151410,Common Stock,4000,,
1831 HK Equity,1831,Hong Kong,HKD,BBG001967YB0,B3X1174,KYG8126A1022,,0.130000,439660.800000,297.439496,10,1010,101013,10101310,Common Stock,1000,,
1833 HK Equity,1833,Hong Kong,HKD,BBG00KMVBFJ6,BDRYVB3,KYG711391022,,49.450000,1075141.000000,52777.698190,18,1812,181210,18121015,Common Stock,100,,
1836 HK Equity,1836,Hong Kong,HKD,BBG000RH3106,B1Z6560,KYG846981028,,9.160000,972522.900000,7276.516220,11,1110,111010,11101013,Common Stock,500,,
1838 HK Equity,1838,Hong Kong,HKD,BBG000PKGBJ5,B1QY4Q6,KYG2159A1058,,1.350000,73400.000000,2442.253950,11,1112,111210,,Common Stock,1000,,
183 HK Equity,183,Hong Kong,HKD,BBG000N1ZR76,BWTW345,KYG9704H1056,,0.132000,554000.000000,732.352588,14,1415,141512,14151214,Common Stock,8000,,
1848 HK Equity,1848,Hong Kong,HKD,BBG006R3T534,BNY7YW7,KYG211241057,,8.000000,471629.500000,5418.155040,14,1412,141210,14121011,Common Stock,500,,
184 HK Equity,184,Hong Kong,HKD,BBG000BBC7V9,6486682,HK0184000948,,6.150000,93450.450000,2092.230000,11,1116,111612,11161210,Common Stock,2000,,
1856 HK Equity,1856,Hong Kong,HKD,BBG006R47LP7,BNN8164,KYG311691086,,1.350000,208650.000000,469.039950,11,1110,111010,11101016,Common Stock,1000,,
